,Country,Player,Team,Base price,Winning bid,Year
548,South Africa,Lungisani Ngidi,Chennai Super Kings,50,50,2018
549,India,Sharad Lumba,Mumbai Indians,20,20,2018
550,India,Kanishk Seth,Chennai Super Kings,20,20,2018
551,India,Dhruv Shorey,Chennai Super Kings,20,20,2018
552,India,Aniruddha Joshi,Royal Challengers Bangalore,20,20,2018
553,India,Sudhesan Midhun,Rajasthan Royals,20,20,2018
554,India,Murali Vijay,Chennai Super Kings,200,200,2018
555,England,Sam Billings,Chennai Super Kings,100,100,2018
556,India,Naman Ojha,Delhi Daredevils,75,140,2018
557,India,Parthiv Patel,Royal Challengers Bangalore,100,170,2018
558,Australia,Mitchell Johnson,Kolkata Knight Riders,200,200,2018
559,New Zealand,Tim Southee,Royal Challengers Bangalore,100,100,2018
560,India,Siddhesh Lad,Mumbai Indians,20,20,2018
561,India,Prashant Chopra,Rajasthan Royals,20,20,2018
562,India,Aditya Tare,Mumbai Indians,20,20,2018
563,India,Bipul Sharma,Sunrisers Hyderabad,20,20,2018
564,India,Sayan Ghosh,Delhi Daredevils,20,20,2018
565,India,Mayank Markande,Mumbai Indians,20,20,2018
566,Australia,Ben Laughlin,Rajasthan Royals,50,50,2018
567,Sri Lanka,Akila Dananjaya,Mumbai Indians,50,50,2018
568,India,Pardeep Sahu,Kings XI Punjab,20,20,2018
569,India,Mayank Dagar,Kings XI Punjab,20,20,2018
570,India,Anukul Roy,Mumbai Indians,20,20,2018
571,England,Mark Wood,Chennai Super Kings,150,150,2018
572,India,Mahipal Lomror,Rajasthan Royals,20,20,2018
573,India,Mohsin Khan,Mumbai Indians,20,20,2018
574,India,Mehdi Hasan,Sunrisers Hyderabad,20,20,2018
575,India,Kshitiz Sharma,Chennai Super Kings,20,20,2018
576,India,Monu Kumar,Chennai Super Kings,20,20,2018
577,India,Chaitanya Bishnoi,Chennai Super Kings,20,20,2018
578,India,Jatin Saxena,Rajasthan Royals,20,20,2018
579,India,Aryaman Birla,Rajasthan Royals,20,30,2018
580,India,Pavan Deshpande,Royal Challengers Bangalore,20,20,2018
581,Jamaica,Chris Gayle,Kings XI Punjab,200,200,2018
582,Sri Lanka,Dushmantha Chameera,Rajasthan Royals,50,50,2018
583,India,M. D. Nidheesh,Mumbai Indians,20,20,2018
584,India,Manzoor Dar,Kings XI Punjab,20,20,2018
585,Barbados,Javon Searles,Kolkata Knight Riders,30,30,2018
586,India,Hanuma Vihari,Delhi Capitals,50,200,2019
587,Guyana,Shimron Hetmyer,Royal Challengers Bangalore,50,420,2019
588,Barbados,Carlos Brathwaite,Kolkata Knight Riders,75,500,2019
589,India,Gurkeerat Singh,Royal Challengers Bangalore,50,50,2019
590,Australia,Moises Henriques,Kings XI Punjab,100,100,2019
591,India,Axar Patel,Delhi Capitals,100,500,2019
592,England,Jonny Bairstow,Sunrisers Hyderabad,150,220,2019
593,Trinidad and Tobago,Nicholas Pooran,Kings XI Punjab,75,420,2019
594,India,Wriddhiman Saha,Sunrisers Hyderabad,100,120,2019
595,India,Jaydev Unadkat,Rajasthan Royals,150,840,2019
596,India,Ishant Sharma,Delhi Capitals,75,110,2019
597,Sri Lanka,Lasith Malinga,Mumbai Indians,200,200,2019
598,India,Mohammad Shami,Kings XI Punjab,100,480,2019
599,India,Varun Aaron,Rajasthan Royals,50,240,2019
600,India,Mohit Sharma,Chennai Super Kings,50,500,2019
601,India,Devdutt Padikkal,Royal Challengers Bangalore,20,20,2019
602,India,Anmolpreet Singh,Mumbai Indians,20,80,2019
603,India,Sarfaraz Khan,Kings XI Punjab,20,25,2019
604,India,Shivam Dube,Royal Challengers Bangalore,20,500,2019
605,India,Varun Chakravarthy,Kings XI Punjab,20,840,2019
606,India,Ankush Bains,Delhi Capitals,20,20,2019
607,India,Nathu Singh,Delhi Capitals,20,20,2019
608,South Africa,Colin Ingram,Delhi Capitals,200,640,2019
